film_title,release_year,imdb_rating,vote_count,duration_min,genre,is_top_100
Breach,2020,2.9,19000.0,92.0,Action|Horror|Sci-Fi,0
Break Ke Baad,2010,5.2,3714.0,118.0,Comedy|Drama|Romance,0
Breakaway (2011 film),2011,5.7,2123.0,101.0,Comedy|Drama|Sport,0
Brij Mohan Amar Rahe,2017,7.0,2533.0,105.0,Comedy|Crime|Drama,0
Brothers (2015 film),2015,6.5,10873.0,156.0,Action|Drama|Sport,0
Bubble Gum (film),2011,7.3,429.0,116.0,Drama,0
Bucky Larson: Born to Be a Star,2011,3.3,13000.0,97.0,Comedy,0
Buddha Mar Gaya,2007,2.5,332.0,93.0,Comedy,0
Buddha in a Traffic Jam,2016,6.8,1867.0,114.0,Crime|Thriller,0
Bullet: Ek Dhamaka,2005,3.7,47.0,137.0,Action|Drama,0
Bullett Raja,2013,5.0,3508.0,138.0,Action|Crime|Drama,0
Bumboo,2012,7.2,2030.0,126.0,Comedy,0
Bumm Bumm Bole,2010,6.0,482.0,124.0,Drama|Family|Thriller,0
Bumper Draw,2015,5.1,28.0,130.0,Comedy,0
Bunty Aur Babli,2005,6.2,5769.0,170.0,Comedy|Drama|Romance,0
Bypass Road (film),2019,7.1,51.0,137.0,Drama|Thriller,0
C Kkompany,2008,5.4,894.0,127.0,Comedy|Drama|Thriller,0
Calapor (film),2013,5.2,5.0,120.0,Drama,0
Calcutta Mail,2003,5.7,446.0,128.0,Drama|Mystery|Thriller,0
Calendar Girls (2015 film),2015,4.2,766.0,131.0,Drama,0
Capernaum,2018,8.4,1213.5,130.0,Drama,1
Captain America,1990,3.2,15000.0,97.0,Action|Adventure|Sci-Fi,0
Casablanca,1942,8.5,1213.5,130.0,Drama|Romance|War,1
Cash (2007 film),2007,3.4,1698.0,137.0,Action|Crime|Thriller,0
Cats,2019,2.8,55000.0,110.0,Comedy|Drama|Family,0
Catwoman,2004,3.4,124000.0,104.0,Action|Crime|Fantasy,0
Censor (film),2001,3.5,107.0,165.0,Drama,0
Chaahat – Ek Nasha,2005,4.0,67.0,140.0,Drama|Romance|Thriller,0
Chaalis Chauraasi,2012,6.1,444.0,120.0,Comedy|Crime,0
Chaar Din Ki Chandni,2012,4.1,374.0,131.0,Comedy|Romance,0
Chaarfutiya Chhokare,2014,6.4,24.0,119.0,Drama|Thriller,0
Chak De! India,2007,8.2,68421.0,153.0,Drama|Family|Sport,0
Chakravyuh (2012 film),2012,6.8,2876.0,152.0,Action|Drama|Thriller,0
Chal Chala Chal,2009,4.6,247.0,138.0,Action|Comedy|Crime,0
Chal Pichchur Banate Hain,2012,6.3,41.0,115.0,Comedy|Drama,0
Chalk n Duster,2016,6.5,564.0,130.0,Drama,0
Challo Driver,2012,6.0,157.0,95.0,Comedy,0
Chalo Dilli,2011,6.8,2819.0,155.0,Comedy|Drama,0
Chalo Ishq Ladaaye,2002,4.4,463.0,140.0,Action|Comedy|Romance,0
Chalte Chalte (2003 film),2003,6.5,13604.0,167.0,Drama|Romance,0
Chameli (film),2003,7.1,1817.0,108.0,Drama,0
Chamku,2008,4.0,474.0,105.0,Action|Crime|Thriller,0
Chance Pe Dance,2010,4.7,2562.0,122.0,Comedy|Drama|Music,0
Chand Ke Paar Chalo (film),2006,7.3,21.0,169.0,Romance,0
Chand Sa Roshan Chehra,2005,4.9,47.0,120.0,Romance,0
Chandni Bar,2001,7.6,2284.0,150.0,Crime|Drama,0
Chandni Chowk to China,2009,4.0,7266.0,154.0,Action|Comedy,0
Charas (2004 film),2004,5.2,285.0,140.0,Action|Thriller,0
Chargesheet (film),2011,6.3,84.0,130.0,Drama|Thriller,0
Chase (2010 film),2010,4.8,87.0,103.0,Action|Crime|Drama,0
Chashme Baddoor (2013 film),2013,5.4,4702.0,121.0,Comedy|Drama,0
Chatur Singh Two Star,2011,1.7,547.0,150.0,Action|Adventure|Comedy,0
Cheeni Kum,2007,6.8,4595.0,140.0,Comedy|Romance,0
Chef (2017 film),2017,5.7,1781.0,133.0,Comedy|Drama|Family,0
Chehraa,2005,3.8,112.0,136.0,Thriller,0
Chennai Express,2013,6.0,45649.0,141.0,Action|Comedy,0
Chetna: The Excitement,2005,3.2,39.0,102.0,Thriller,0
Chhodon Naa Yaar,2007,4.7,84.0,130.0,Thriller,0
Chhota Bheem and the Throne of Bali,2013,6.8,86.0,130.0,Animation,0
Chhupa Rustam: A Musical Thriller,2001,4.5,73.0,127.0,Drama|Musical|Romance,0
Chicken Curry Law,2019,6.0,19.0,127.0,Drama,0
Children of War (2014 film),2014,6.7,848.0,160.0,Drama|History|War,0
Chillar Party,2011,7.4,6255.0,135.0,Comedy|Drama|Family,0
Chinar Daastaan-E-Ishq,2015,7.0,58.0,116.0,Romance,0
Chingaari,2006,4.7,168.0,155.0,Drama,0
Chintu Ji,2009,5.8,168.0,115.0,Comedy|Drama,0
Chittagong (film),2012,7.2,1334.0,105.0,Action|Drama|War,0
Chocolate (2005 film),2005,4.8,1780.0,160.0,Crime|Drama|Mystery,0
Chor Chor Super Chor,2013,6.7,217.0,99.0,Comedy|Drama|Thriller,0
Chor Machaaye Shor,2002,4.2,1003.0,145.0,Action|Comedy|Crime,0
Chori Chori (2003 film),2003,4.8,781.0,135.0,Comedy|Drama|Musical,0
Chori Chori Chupke Chupke,2001,5.4,3907.0,160.0,Drama|Musical|Romance,0
Chup Chup Ke,2006,6.7,7045.0,164.0,Comedy|Drama|Romance,0
